,j X m ,Psize,sol,lbf,ubf,mf,dpf,lbt,ubt,mt,dpt
1,(20 X 5),4,"[15, 4, 18, 11, 14, 7, 20, 8, 16, 6, 9, 19, 17, 13, 1, 2, 5, 12, 3, 10]",1368,1440,1398.4,19.8454,0.00127,0.00469,0.00215,0.00097
2,(20 X 10),4,"[5, 19, 11, 4, 15, 9, 1, 12, 14, 10, 6, 20, 17, 18, 7, 2, 13, 16, 8, 3]",1832,1912,1861.9,26.51962,0.0019,0.00478,0.0028,0.00088
3,(20 X 20),4,"[3, 13, 10, 16, 8, 20, 4, 12, 7, 15, 11, 2, 9, 17, 5, 1, 6, 14, 18, 19]",2521,2651,2587.2,38.28786,0.00319,0.0097,0.00473,0.00232
4,(50 X 5),4,"[40, 4, 50, 34, 19, 44, 30, 9, 32, 26, 8, 13, 12, 18, 41, 38, 5, 22, 23, 24, 46, 37, 2, 36, 35, 42, 27, 1, 25, 3, 21, 29, 7, 20, 31, 28, 48, 16, 39, 11, 45, 10, 6, 33, 43, 17, 15, 47, 14, 49]",2881,3027,2951.4,53.05884,0.00247,0.00499,0.00376,0.00084
5,(50 X 10),4,"[36, 29, 4, 49, 19, 24, 10, 3, 1, 48, 37, 5, 6, 35, 25, 20, 22, 42, 28, 16, 39, 38, 46, 43, 23, 31, 2, 21, 34, 44, 9, 47, 41, 30, 14, 27, 18, 17, 7, 11, 50, 13, 26, 8, 32, 33, 45, 12, 40, 15]",3546,3675,3594.2,38.72415,0.00412,0.01001,0.0064,0.00202
6,(50 X 20),4,"[48, 33, 29, 1, 39, 27, 43, 6, 40, 13, 8, 32, 3, 47, 16, 23, 5, 49, 2, 35, 41, 45, 36, 21, 37, 50, 7, 46, 24, 30, 14, 42, 12, 38, 19, 9, 4, 11, 18, 31, 15, 17, 10, 20, 34, 28, 26, 44, 22, 25]",4590,4754,4670.2,50.90737,0.0075,0.01626,0.01163,0.00298
7,(100 X 5),4,"[8, 12, 5, 20, 96, 75, 69, 43, 36, 19, 83, 39, 44, 86, 16, 10, 13, 50, 97, 100, 42, 99, 48, 90, 21, 26, 14, 74, 3, 55, 40, 27, 84, 70, 59, 80, 87, 47, 17, 53, 67, 45, 37, 15, 9, 68, 46, 22, 29, 34, 33, 49, 30, 31, 24, 71, 60, 72, 78, 89, 79, 66, 82, 32, 93, 41, 11, 25, 28, 91, 76, 56, 4, 85, 35, 63, 1, 7, 62, 98, 73, 61, 57, 95, 18, 58, 81, 23, 88, 51, 6, 94, 38, 92, 54, 2, 52, 65, 64, 77]",5760,5945,5841.7,52.65178,0.00457,0.01185,0.00779,0.0023
8,(100 X 10),4,"[43, 41, 27, 57, 8, 54, 15, 63, 11, 67, 2, 51, 84, 58, 22, 10, 66, 44, 60, 69, 93, 68, 38, 62, 45, 47, 91, 92, 86, 85, 28, 5, 65, 74, 37, 13, 76, 78, 29, 25, 31, 33, 82, 97, 61, 48, 95, 39, 56, 99, 71, 40, 53, 49, 32, 90, 6, 96, 100, 35, 42, 16, 46, 55, 80, 81, 83, 24, 3, 64, 94, 18, 26, 52, 21, 70, 14, 36, 34, 73, 77, 7, 17, 75, 98, 72, 20, 30, 23, 4, 59, 9, 79, 87, 1, 88, 89, 50, 12, 19]",6454,6738,6607.5,76.5,0.0075,0.01886,0.01088,0.00396
9,(100 X 20),4,"[59, 89, 31, 49, 82, 39, 22, 72, 6, 60, 20, 54, 26, 7, 35, 37, 16, 21, 78, 92, 44, 42, 85, 81, 9, 70, 2, 28, 58, 25, 13, 57, 24, 15, 93, 46, 10, 99, 95, 67, 96, 3, 8, 61, 91, 77, 87, 66, 1, 11, 100, 40, 98, 86, 88, 43, 27, 74, 48, 23, 33, 83, 14, 75, 12, 47, 84, 34, 97, 52, 55, 63, 71, 30, 41, 36, 68, 19, 79, 38, 18, 69, 94, 62, 80, 5, 51, 32, 50, 65, 45, 76, 64, 90, 29, 4, 73, 56, 17, 53]",7406,7639,7529.5,71.51678,0.01387,0.03966,0.02362,0.00928
10,(200 X 10),4,"[42, 109, 102, 185, 1, 82, 181, 86, 5, 145, 98, 163, 137, 8, 13, 16, 150, 69, 63, 33, 43, 116, 188, 14, 83, 64, 170, 168, 92, 142, 124, 108, 48, 15, 11, 51, 191, 120, 197, 49, 53, 3, 12, 85, 131, 38, 182, 146, 36, 73, 186, 4, 115, 30, 97, 118, 195, 190, 24, 114, 57, 68, 91, 147, 165, 65, 25, 54, 76, 171, 198, 129, 107, 99, 193, 34, 67, 144, 40, 177, 74, 101, 184, 166, 52, 123, 39, 126, 81, 160, 148, 141, 78, 44, 21, 41, 152, 87, 100, 7, 162, 189, 103, 6, 173, 167, 56, 159, 80, 46, 96, 50, 35, 29, 117, 178, 58, 139, 154, 179, 32, 19, 20, 140, 106, 2, 151, 47, 136, 88, 71, 17, 187, 169, 155, 113, 172, 22, 133, 59, 90, 55, 94, 75, 37, 111, 60, 156, 61, 128, 26, 153, 192, 121, 77, 105, 110, 158, 125, 28, 127, 89, 132, 161, 62, 200, 122, 45, 149, 9, 176, 130, 196, 157, 164, 135, 79, 104, 134, 183, 138, 199, 174, 66, 194, 143, 27, 112, 95, 18, 72, 119, 70, 93, 10, 84, 31, 23, 180, 175]",11759,12058,11902.3,101.81066,0.01733,0.04662,0.02558,0.00873
